,X,Y
0,0.0,139.79702018210745
1,1.0,138.3149890264862
2,2.0,137.41546310096243
3,3.0,136.96339596038734
4,4.0,136.8447592659103
5,5.0,136.9641854588162
6,6.0,137.24280959866414
7,7.0,137.6162974692913
8,8.0,138.03304769166527
9,9.0,138.45255619509234
10,10.0,138.84393198845353
11,11.0,139.18455374148124
12,12.0,139.45885723313347
13,13.0,139.65724425039417
14,14.0,139.77510402684595
15,15.0,139.81193879663476
16,16.0,139.77058550648604
17,17.0,139.65652617673518
18,18.0,139.47727983240196
19,19.0,139.2418693376529
20,20.0,138.96035686204652
21,21.0,138.64344208521666
22,22.0,138.30211760859365
23,23.0,137.94737638885528
24,24.0,137.5899663384965
25,25.0,137.24018755466713
26,26.0,136.9077279386869
27,27.0,136.60153325585682
28,28.0,136.32970795877102
29,29.0,136.09944335772025
30,30.0,135.9169699693935
31,31.0,135.7875311103328
32,32.0,135.71537502488474
33,33.0,135.70376304913185
34,34.0,135.7549915128457
35,35.0,135.87042527130092
36,36.0,136.0505409381636
37,37.0,136.29497806003164
38,38.0,136.60259663288565
39,39.0,136.9715395110952
40,40.0,137.3992984010429
41,41.0,137.88278226424106
42,42.0,138.41838707933786
43,43.0,139.00206602899968
44,44.0,139.6293992865962
45,45.0,140.2956626792738
46,46.0,140.99589459861772
47,47.0,141.7249606180503
48,48.0,142.47761535764462
49,49.0,143.24856121239645
50,50.0,144.03250362960958
51,51.0,144.8242026849738
52,52.0,145.61852076566586
53,53.0,146.4104662223507
54,54.0,147.1952329008914
55,55.0,147.9682355087968
56,56.0,148.72514081144078
57,57.0,149.46189468897094
58,58.0,150.1747451168959
59,59.0,150.8602611616679
60,60.0,151.51534810760663
61,61.0,152.13725885327358
62,62.0,152.7236017339961
63,63.0,153.27234494333555
64,64.0,153.78181773925593
65,65.0,154.2507086317781
66,66.0,154.67806075715959
67,67.0,155.06326465001715
68,68.0,155.4060486292208
69,69.0,155.70646701581566
70,70.0,155.96488640208753
71,71.0,156.18197019031382
72,72.0,156.35866161737016
73,73.0,156.49616547846463
74,74.0,156.5959287582482
75,75.0,156.6596203724236
76,76.0,156.6891102163894
77,77.0,156.686447710103
78,78.0,156.65384002067597
79,79.0,156.59363013533942
80,80.0,156.5082749486759
81,81.0,156.40032351820392
82,82.0,156.2723956327925
83,83.0,156.12716082832836
84,84.0,155.9673179745214
85,85.0,155.79557554641895
86,86.0,155.6146326839851
87,87.0,155.4271611322164
88,88.0,155.23578814407762
89,89.0,155.0430804181969
90,90.0,154.85152913312226
91,91.0,154.6635361298653
92,92.0,154.4814012848749
93,93.0,154.30731110606456
94,94.0,154.14332857526014
95,95.0,153.9913842519862
96,96.0,153.85326864442808
97,97.0,153.7306258461941
98,98.0,153.62494842890055
99,99.0,153.537573574039
100,100.0,153.4696804209063
101,101.0,153.42228859996158
102,102.0,153.396257916401
103,103.0,153.39228914217244
104,104.0,153.4109258713308
105,105.0,153.4525573860125
106,106.0,153.51742248052983
107,107.0,153.60561418334132
108,108.0,153.7170853165609
109,109.0,153.85165482881982
110,110.0,154.00901483444747
111,111.0,154.18873829175914
112,112.0,154.39028725052904
113,113.0,154.61302159858826
114,114.0,154.85620823626502
115,115.0,155.1190306087618
116,116.0,155.4005985239508
117,117.0,155.69995818813848
118,118.0,156.01610238763743
119,119.0,156.3479807504733
120,120.0,156.69451002211756
121,121.0,157.05458428885504
122,122.0,157.42708508849736
123,123.0,157.81089134792873
124,124.0,158.20488909055697
125,125.0,158.6079808589732
126,126.0,159.01909480199942
127,127.0,159.4371933773967
128,128.0,159.8612816257929
129,129.0,160.2904149758761
130,130.0,160.72370654082576
131,131.0,161.160333873716
132,132.0,161.5995451505559
133,133.0,162.04066475709396
134,134.0,162.4830982526497
135,135.0,162.9263366954395
136,136.0,163.36996031596667
137,137.0,163.81364152092414
138,138.0,164.25714722810176
139,139.0,164.700340524559
140,140.0,165.14318164933917
141,141.0,165.5857283030999
142,142.0,166.02813529397602
143,143.0,166.47065353184553
144,144.0,166.91362837887004
145,145.0,167.35749737905977
146,146.0,167.80278738819365
147,147.0,168.25011111504352
148,148.0,168.700163120729
149,149.0,169.15371528068601
150,150.0,169.611611758812
151,151.0,170.07476351299823
152,152.0,170.54414237508772
153,153.0,171.0207747368813
154,154.0,171.50573488207812
155,155.0,172.000138001243
156,156.0,172.50513293195604
157,157.0,173.0218946660709
158,158.0,173.55161666212535
159,159.0,174.09550300623476
160,160.0,174.6547604737955
161,161.0,175.23059051487127
162,162.0,175.82418122757042
163,163.0,176.43669934636375
164,164.0,177.0692822945482
165,165.0,177.72303034878303
166,166.0,178.39899892732424
167,167.0,179.09819108768235
168,168.0,179.82155022729913
169,169.0,180.5699530529526
170,170.0,181.34420284332168
171,171.0,182.14502303725652
172,172.0,182.97305118466736
173,173.0,183.8288332912812
174,174.0,184.71281856608226
175,175.0,185.62535464367144
176,176.0,186.56668323755173
177,177.0,187.53693631930656
178,178.0,188.53613277007977
179,179.0,189.56417559883533
180,180.0,190.62084965323027
181,181.0,191.7058199223175
182,182.0,192.8186303716677
183,183.0,193.95870336068066
184,184.0,195.1253396187948
185,185.0,196.31771879181426
186,186.0,197.53490056860375
187,187.0,198.77582636214828
188,188.0,200.03932155387452
189,189.0,201.32409828100114
190,190.0,202.628758767295
191,191.0,203.95179917424883
192,192.0,205.29161396457522
193,193.0,206.64650074656038
194,194.0,208.01466558949983
195,195.0,209.3942287770655
196,196.0,210.78323100600568
197,197.0,212.17963995179542
198,198.0,213.581357208623
199,199.0,214.98622556393462
200,200.0,216.39203658739848
201,201.0,217.79653849956162
202,202.0,219.19744423584382
203,203.0,220.59243978442962
204,204.0,221.97919262460317
205,205.0,223.3553603456169
206,206.0,224.7185993426246
207,207.0,226.06657359284029
208,208.0,227.39696339807386
209,209.0,228.7074741927453
210,210.0,229.9958452648005
211,211.0,231.2598583421155
212,212.0,232.4973461218669
213,213.0,233.70620060265782
214,214.0,234.88438127572817
215,215.0,236.0299229752011
216,216.0,237.1409435492651
217,217.0,238.21565127204144
218,218.0,239.25235178469677
219,219.0,240.24945483391033
220,220.0,241.20548053968238
221,221.0,242.11906529653024
222,222.0,242.98896716709805
223,223.0,243.81407092560596
224,224.0,244.5933925461814
225,225.0,245.32608320577486
226,226.0,246.01143284791613
227,227.0,246.648873011499
228,228.0,247.23797946060367
229,229.0,247.77847386602758
230,230.0,248.27022531690528
231,231.0,248.7132509819259
232,232.0,249.10771625356648
233,233.0,249.45393459713014
234,234.0,249.75236632900078
235,235.0,250.0036174140589
236,236.0,250.20843719018313
237,237.0,250.36771601259082
238,238.0,250.48248192307275
239,239.0,250.55389711308504
240,240.0,250.5832538431203
241,241.0,250.57196973103623
242,242.0,250.5215826970479
243,243.0,250.43374541996747
244,244.0,250.3102194899163
245,245.0,250.15286885917874
246,246.0,249.96365328871815
247,247.0,249.74462136718546
248,248.0,249.49790282704816
249,249.0,249.22570123459627
250,250.0,248.93028599331004
251,251.0,248.61398419501995
252,252.0,248.279172409376
253,253.0,247.9282681264644
254,254.0,247.56372132452665
255,255.0,247.18800602252801
256,256.0,246.8036112054842
257,257.0,246.41303255737955
258,258.0,246.01876368186163
259,259.0,245.62328758012887
260,260.0,245.22906807873144
261,261.0,244.83854179561715
262,262.0,244.45410968056848
263,263.0,244.07812924116269
264,264.0,243.7129067981076
265,265.0,243.36069021690963
266,266.0,243.02366140046996
267,267.0,242.70392971523574
268,268.0,242.4035255899736
269,269.0,242.1243941820864
270,270.0,241.86838992846037
271,271.0,241.63727089713865
272,272.0,241.43269446878622
273,273.0,241.25621241244744
274,274.0,241.1092672563279
275,275.0,240.99318887841252
276,276.0,240.90919153804404
277,277.0,240.85837087907356
278,278.0,240.84170306366468
279,279.0,240.86004229206168
280,280.0,240.9141203610494
281,281.0,241.00454643481828
282,282.0,241.1318067137107
283,283.0,241.2962648829138
284,284.0,241.49816410311237
285,285.0,241.73762732337877
286,286.0,242.01466032091014
287,287.0,242.32915361612265
288,288.0,242.6808853356606
289,289.0,243.06952502285225
290,290.0,243.4946367859967
291,291.0,243.9556837820511
292,292.0,244.45203242511008
293,293.0,244.98295737033857
294,294.0,245.54764574232078
295,295.0,246.14520395639624
296,296.0,246.7746618448163
297,297.0,247.43497906403047
298,298.0,248.1250510224626
299,299.0,248.84371432088085
300,300.0,249.58975405793694
301,301.0,250.36190894216406
302,302.0,251.15887837566805
303,303.0,251.97932787684164
304,304.0,252.82189668901623
305,305.0,253.68520238640343
306,306.0,254.56784848554003
307,307.0,255.468428814129
308,308.0,256.3855353263024
309,309.0,257.317762345605
310,310.0,258.2637120713521
311,311.0,259.22200072783573
312,312.0,260.191262815323
313,313.0,261.1701554411823
314,314.0,262.1573645124498
315,315.0,263.15160631830753
316,316.0,264.1516327777293
317,317.0,265.15623475300174
318,318.0,266.16424492188355
319,319.0,267.17454009424205
320,320.0,268.1860436970502
321,321.0,269.1977271628229
322,322.0,270.20861324876273
323,323.0,271.2177741862721
324,324.0,272.22433411873226
325,325.0,273.22746983733
326,326.0,274.22640885855265
327,327.0,275.2204312806075
328,328.0,276.20886666231945
329,329.0,277.19109375184956
330,330.0,278.1665397037017
331,331.0,279.1346778539147
332,332.0,280.0950235200105
333,333.0,281.0471352871571
334,334.0,281.9906093604042
335,335.0,282.92507821216293
336,336.0,283.8502064567113
337,337.0,284.7656888388489
338,338.0,285.67124609605787
339,339.0,286.56662043619417
340,340.0,287.45157447913925
341,341.0,288.32588608546257
342,342.0,289.1893436168008
343,343.0,290.0417461807511
344,344.0,290.88289510970884
345,345.0,291.7125938979161
346,346.0,292.53064405001044
347,347.0,293.33684159848565
348,348.0,294.1309758939671
349,349.0,294.9128218187714
350,350.0,295.6821447845439
351,351.0,296.43869133322335
