,X,Y
0,0.0,72.63431901594394
1,1.0,72.42806657229542
2,2.0,72.34890971705046
3,3.0,72.36790131732701
4,4.0,72.46055860720116
5,5.0,72.60636468700332
6,6.0,72.78831234007852
7,7.0,72.9924873767048
8,8.0,73.2076888575423
9,9.0,73.42508368617273
10,10.0,73.63789319213069
11,11.0,73.84110945246834
12,12.0,74.03123922147506
13,13.0,74.20607345483444
14,14.0,74.36448052637931
15,15.0,74.50622134283765
16,16.0,74.6317846646823
17,17.0,74.74224103953715
18,18.0,74.83911384868094
19,19.0,74.92426605715546
20,20.0,74.99980134395346
21,21.0,75.06797837085531
22,22.0,75.13113702682507
23,23.0,75.19163555958518
24,24.0,75.2517975771803
25,25.0,75.31386797013265
26,26.0,75.37997686929319
27,27.0,75.4521108158187
28,28.0,75.53209037796175
29,29.0,75.62155350465443
30,30.0,75.72194395830434
31,31.0,75.83450421890156
32,32.0,75.9602722985626
33,33.0,76.10008195010458
34,34.0,76.25456579525127
35,35.0,76.42416093771122
36,36.0,76.60911666373275
37,37.0,76.80950386791706
38,38.0,77.0252258751485
39,39.0,77.25603036056734
40,40.0,77.50152209864252
41,41.0,77.76117629968805
42,42.0,78.03435231768273
43,43.0,78.3203075370738
44,44.0,78.6182112684498
45,45.0,78.92715850363079
46,46.0,79.2461833999059
47,47.0,79.57427238093408
48,48.0,79.91037675826651
49,49.0,80.25342479262187
50,50.0,80.60233312800842
51,51.0,80.95601754460354
52,52.0,81.31340298802814
53,53.0,81.67343284334751
54,54.0,82.03507743185986
55,55.0,82.3973417175192
56,56.0,82.75927221778994
57,57.0,83.11996312082616
58,58.0,83.47856161721901
59,59.0,83.8342724601763
60,60.0,84.18636177293232
61,61.0,84.53416012649897
62,62.0,84.87706491457327
63,63.0,85.214542055588
64,64.0,85.54612705452388
65,65.0,85.87142545927746
66,66.0,86.19011274810634
67,67.0,86.50193368597957
68,68.0,86.80670118862207
69,69.0,87.10429473362255
70,70.0,87.39465835825298
71,71.0,87.67779828367291
72,72.0,87.95378020489257
73,73.0,88.2227262853844
74,74.0,88.4848118945316
75,75.0,88.74026212519446
76,76.0,88.98934812761084
77,77.0,89.23238329465369
78,78.0,89.46971933212669
79,79.0,89.70174224632889
80,80.0,89.92886827962204
81,81.0,90.15153982308323
82,82.0,90.37022133369803
83,83.0,90.58539528182122
84,84.0,90.79755815293252
85,85.0,91.00721652582041
86,86.0,91.21488324778576
87,87.0,91.4210737254511
88,88.0,91.62630234817087
89,89.0,91.83107905917626
90,90.0,92.03590608799138
91,91.0,92.24127485594778
92,92.0,92.44766306483899
93,93.0,92.6555319774785
94,94.0,92.86532389704435
95,95.0,93.07745985088553
96,96.0,93.29233748287331
97,97.0,93.51032915709298
98,98.0,93.73178027442293
99,99.0,93.95700780214612
100,100.0,94.18629901591092
101,101.0,94.41991045186873
102,102.0,94.65806706615933
103,103.0,94.90096159779992
104,104.0,95.14875413020839
105,105.0,95.40157184575435
106,106.0,95.65950896716627
107,107.0,95.92262687874603
108,108.0,96.19095441998765
109,109.0,96.4644883435518
110,110.0,96.74319392914717
111,111.0,97.0270057444011
112,112.0,97.31582854377271
113,113.0,97.6095382959807
114,114.0,97.90798333027763
115,115.0,98.21098559210608
116,116.0,98.51834199798184
117,117.0,98.82982588014397
118,118.0,99.1451885107326
119,119.0,99.46416069607396
120,120.0,99.78645443134144
121,121.0,100.11176460555359
122,122.0,100.43977074866721
123,123.0,100.77013881040537
124,124.0,101.10252296272246
125,125.0,101.43656741702988
126,126.0,101.7719082478027
127,127.0,102.10817521470945
128,128.0,102.44499357555156
129,129.0,102.78198588235276
130,130.0,103.11877375446184
131,131.0,103.45497962123207
132,132.0,103.79022842856975
133,133.0,104.12414930355511
134,134.0,104.45637717163393
135,135.0,104.78655432137236
136,136.0,105.1143319126945
137,137.0,105.43937142341133
138,138.0,105.76134603162086
139,139.0,106.07994192925096
140,140.0,106.39485956513609
141,141.0,106.70581481395217
142,142.0,107.01254006903986
